moordemo - Sheet1
kind,capacity,lat,lng
Staple or Inverted-U,4,39.9517599,-75.163611
Staple or Inverted-U,4,39.9508903,-75.164219
Staple or Inverted-U,4,39.9552102,-75.154673
Staple or Inverted-U,4,39.9563366,-75.17265
Staple or Inverted-U,4,39.953968,-75.166652
Staple or Inverted-U,4,39.9557427,-75.174107
Staple or Inverted-U,4,39.9557162,-75.173151
Staple or Inverted-U,4,39.9558289,-75.174812
Staple or Inverted-U,4,39.9560602,-75.175997
Staple or Inverted-U,4,39.9572175,-75.17718
Staple or Inverted-U,4,39.9562856,-75.177217
Staple or Inverted-U,4,39.9562484,-75.176763
Staple or Inverted-U,4,39.9560422,-75.17638
Staple or Inverted-U,4,39.9559721,-75.176259
Converted Parking Meter,4,39.954193,-75.1773
Staple or Inverted-U,4,39.9541277,-75.169668
Staple or Inverted-U,4,39.9548633,-75.167186
Staple or Inverted-U,4,39.9519339,-75.171871
Converted Parking Meter,4,39.9538219,-75.167096
Staple or Inverted-U,4,39.9537124,-75.166257
Staple or Inverted-U,4,39.95463,-75.164451
Staple or Inverted-U,4,39.9547468,-75.1654
Staple or Inverted-U,4,39.9548146,-75.167987
Staple or Inverted-U,4,39.9565772,-75.165169
Staple or Inverted-U,4,39.9566103,-75.165366
Staple or Inverted-U,4,39.9552177,-75.166411
Staple or Inverted-U,4,39.9584012,-75.167616
Staple or Inverted-U,4,39.9584827,-75.168269
Staple or Inverted-U,4,39.9576666,-75.171344
Staple or Inverted-U,4,39.9553844,-75.17048
Staple or Inverted-U,4,39.9529056,-75.167468
Staple or Inverted-U,4,39.9472522,-75.167327
Staple or Inverted-U,4,39.9456411,-75.165338
Staple or Inverted-U,4,39.9527379,-75.166068
School Yard,4,39.9514079,-75.168482
Staple or Inverted-U,4,39.9513939,-75.168389
Staple or Inverted-U,4,39.9512678,-75.167446
Wave,4,39.9482812,-75.168456
Staple or Inverted-U,4,39.9457754,-75.166959
Staple or Inverted-U,4,39.9499298,-75.168726
Staple or Inverted-U,4,39.9455395,-75.16686
Staple or Inverted-U,4,39.948569,-75.159048
Staple or Inverted-U,4,39.9469821,-75.159299
Staple or Inverted-U,4,39.9461971,-75.157934
Converted Parking Meter,4,39.9462171,-75.15793
Staple or Inverted-U,4,39.9427356,-75.158694
Converted Parking Meter,4,39.9446609,-75.155029
Staple or Inverted-U,4,39.9518332,-75.155096
Other,4,39.9549572,-75.159285
Staple or Inverted-U,4,39.9536538,-75.159468
Staple or Inverted-U,4,39.9513491,-75.158355
Converted Parking Meter,4,39.9521545,-75.158185
Converted Parking Meter,4,39.9540747,-75.15777
Staple or Inverted-U,4,39.9493129,-75.151017
Staple or Inverted-U,4,39.9412643,-75.152481
Street Corral,4,39.9448048,-75.150062
Staple or Inverted-U,4,39.9496604,-75.149064
Staple or Inverted-U,4,39.9501208,-75.148982
Staple or Inverted-U,4,39.9495425,-75.147493
Staple or Inverted-U,4,39.9489554,-75.147522
Staple or Inverted-U,4,39.9420851,-75.149038
Staple or Inverted-U,4,39.9420121,-75.149053
Staple or Inverted-U,4,39.9419277,-75.149073
Converted Parking Meter,4,39.941129,-75.149332
Converted Parking Meter,4,39.941085,-75.149347
Wave,4,39.9482604,-75.146066
Wave,3,39.9527619,-75.167082
Wave,3,39.9527784,-75.16718
Wave,3,39.9527953,-75.167298
Wave,3,39.9527931,-75.167409
School Yard,3,39.9420029,-75.158756
Hitch Style,2,39.9506793,-75.16845
Converted Parking Meter,2,39.9496737,-75.16204
Converted Parking Meter,2,39.9492741,-75.162123
Staple or Inverted-U,2,39.9491482,-75.162267
Staple or Inverted-U,2,39.94915,-75.162282
Staple or Inverted-U,2,39.9491509,-75.162294
Staple or Inverted-U,2,39.9491466,-75.162253
Converted Parking Meter,2,39.9490854,-75.162441
Converted Parking Meter,2,39.9491052,-75.162608
Converted Parking Meter,2,39.9491254,-75.162779
Converted Parking Meter,2,39.9491394,-75.162896
Staple or Inverted-U,2,39.9491534,-75.163027
Converted Parking Meter,2,39.9491957,-75.163347
Converted Parking Meter,2,39.9492035,-75.163438
Staple or Inverted-U,2,39.9492167,-75.163537
Staple or Inverted-U,2,39.9492471,-75.163818
Staple or Inverted-U,2,39.9492576,-75.163882
Staple or Inverted-U,2,39.949358,-75.163924
Staple or Inverted-U,2,39.9493667,-75.163997
Staple or Inverted-U,2,39.9485067,-75.162371
Staple or Inverted-U,2,39.948098,-75.163915
Converted Parking Meter,2,39.9481075,-75.16401
